Class,"carcinoma_in_situ","light_dysplastic","moderate_dysplastic","normal_columnar","normal_intermediate","normal_superficiel","severe_dysplastic"
TPR,0.99554,1.0,0.99236,0.99898,1.0,1.0,0.99157
TNR,0.99837,0.99976,0.99954,0.99974,1.0,1.0,0.9994
PPV,0.9876,0.9984,0.99616,0.99898,1.0,1.0,0.99647
NPV,0.99942,1.0,0.99908,0.99974,1.0,1.0,0.99855
FNR,0.00446,0.0,0.00764,0.00102,0.0,0.0,0.00843
FPR,0.00163,0.00024,0.00046,0.00026,0.0,0.0,0.0006
FDR,0.0124,0.0016,0.00384,0.00102,0.0,0.0,0.00353
FOR,0.00058,0.0,0.00092,0.00026,0.0,0.0,0.00145
ACC,0.99804,0.99979,0.99876,0.99959,1.0,1.0,0.99825
F1,0.99155,0.9992,0.99426,0.99898,1.0,1.0,0.99402
BM,0.9939,0.99976,0.9919,0.99872,1.0,1.0,0.99097
PRE,0.11546,0.12856,0.10794,0.20278,0.14351,0.15495,0.1468
J,0.98325,0.9984,0.98858,0.99797,1.0,1.0,0.9881
CEN,0.02137,0.00252,0.01586,0.00325,0,0,0.01549
MCEN,0.03776,0.00459,0.02838,0.00592,0,0,0.0275
AUC,0.99695,0.99988,0.99595,0.99936,1.0,1.0,0.99548
