Class,"carcinoma_in_situ","light_dysplastic","moderate_dysplastic","normal_columnar","normal_intermediate","normal_superficiel","severe_dysplastic"
ACC,0.99804,0.99979,0.99876,0.99959,1.0,1.0,0.99825
AGF,0.99657,0.99982,0.99614,0.99936,1.0,1.0,0.99563
AGM,0.99762,0.99983,0.99764,0.99953,1.0,1.0,0.99728
AM,9,2,-4,0,0,0,-7
AUC,0.99695,0.99988,0.99595,0.99936,1.0,1.0,0.99548
AUCI,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent
AUPR,0.99157,0.9992,0.99426,0.99898,1.0,1.0,0.99402
BCD,0.00046,0.0001,0.00021,0.0,0.0,0.0,0.00036
BM,0.9939,0.99976,0.9919,0.99872,1.0,1.0,0.99097
CEN,0.02137,0.00252,0.01586,0.00325,0,0,0.01549
DOR,136444.14286,None,280822.21875,3797853.75,None,None,194644.2
DP,2.83105,None,3.00388,3.62749,None,None,2.91611
DPI,Fair,None,Good,Good,None,None,Fair
ERR,0.00196,0.00021,0.00124,0.00041,0.0,0.0,0.00175
F0.5,0.98918,0.99872,0.9954,0.99898,1.0,1.0,0.99549
F1,0.99155,0.9992,0.99426,0.99898,1.0,1.0,0.99402
F2,0.99394,0.99968,0.99312,0.99898,1.0,1.0,0.99255
FDR,0.0124,0.0016,0.00384,0.00102,0.0,0.0,0.00353
FN,5,0,8,2,0,0,12
FNR,0.00446,0.0,0.00764,0.00102,0.0,0.0,0.00843
FOR,0.00058,0.0,0.00092,0.00026,0.0,0.0,0.00145
FP,14,2,4,2,0,0,5
FPR,0.00163,0.00024,0.00046,0.00026,0.0,0.0,0.0006
G,0.99156,0.9992,0.99426,0.99898,1.0,1.0,0.99402
GI,0.9939,0.99976,0.9919,0.99872,1.0,1.0,0.99097
GM,0.99695,0.99988,0.99594,0.99936,1.0,1.0,0.99548
IBA,0.9911,1.0,0.98478,0.99797,1.0,1.0,0.98322
IS,3.09648,2.95721,3.20618,2.30052,2.80083,2.69014,2.76294
J,0.98325,0.9984,0.98858,0.99797,1.0,1.0,0.9881
LS,8.55332,7.76621,9.22903,4.92635,6.96839,6.45376,6.78776
MCC,0.99045,0.99908,0.99357,0.99872,1.0,1.0,0.99299
MCCI,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong
MCEN,0.03776,0.00459,0.02838,0.00592,0,0,0.0275
MK,0.98702,0.9984,0.99524,0.99872,1.0,1.0,0.99502
N,8580,8453,8653,7733,8308,8197,8276
NLR,0.00447,0.0,0.00764,0.00102,0.0,0.0,0.00843
NLRI,Good,Good,Good,Good,Good,Good,Good
NPV,0.99942,1.0,0.99908,0.99974,1.0,1.0,0.99855
OC,0.99554,1.0,0.99616,0.99898,1.0,1.0,0.99647
OOC,0.99156,0.9992,0.99426,0.99898,1.0,1.0,0.99402
OP,0.99662,0.99968,0.99516,0.99921,1.0,1.0,0.99432
P,1120,1247,1047,1967,1392,1503,1424
PLR,610.12117,4226.5,2146.72087,3862.56863,None,None,1641.25169
PLRI,Good,Good,Good,Good,None,None,Good
POP,9700,9700,9700,9700,9700,9700,9700
PPV,0.9876,0.9984,0.99616,0.99898,1.0,1.0,0.99647
PRE,0.11546,0.12856,0.10794,0.20278,0.14351,0.15495,0.1468
Q,0.99999,None,0.99999,1.0,None,None,0.99999
RACC,0.01344,0.01655,0.01161,0.04112,0.02059,0.02401,0.02145
RACCU,0.01344,0.01655,0.01161,0.04112,0.02059,0.02401,0.02145
TN,8566,8451,8649,7731,8308,8197,8271
TNR,0.99837,0.99976,0.99954,0.99974,1.0,1.0,0.9994
TON,8571,8451,8657,7733,8308,8197,8283
TOP,1129,1249,1043,1967,1392,1503,1417
TP,1115,1247,1039,1965,1392,1503,1412
TPR,0.99554,1.0,0.99236,0.99898,1.0,1.0,0.99157
Y,0.9939,0.99976,0.9919,0.99872,1.0,1.0,0.99097
dInd,0.00475,0.00024,0.00765,0.00105,0.0,0.0,0.00845
sInd,0.99664,0.99983,0.99459,0.99926,1.0,1.0,0.99403
